originalScore,sentence,compoundScore,positiveScore,neutralScore,negativeScore
0,ugh. the amount of times these stupid insects have bitten me. Grr..,-0.7351,0.0,0.617,0.383
4,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p,0.5719,0.425,0.575,0.0
0,Just got barraged by a horde of insects hungry for my kitchen light. So scary.,-0.5413,0.0,0.788,0.212
4,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;),0.7125,0.35,0.65,0.0
4,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =],0.8613,0.465,0.535,0.0
4,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.,0.3382,0.25,0.606,0.144
4,Could go for a lot of McDonalds. i mean A LOT.,0.0,0.0,1.0,0.0
4,my exam went good. @HelloLeonie: your prayers worked (:,0.7269,0.466,0.534,0.0
4,"Only one exam left, and i am so happy for it :D",0.8681,0.494,0.506,0.0
0,Math review. Im going to fail the exam.,-0.5423,0.0,0.667,0.333
0,Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly,0.296,0.204,0.659,0.138
0,obviously not siding with Cheney here: http://bit.ly/19j2d,0.0,0.0,1.0,0.0
4,Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt,0.5952,0.492,0.508,0.0
4,@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV,-0.2249,0.077,0.809,0.115
2,Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629,0.0,0.0,1.0,0.0
4,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign,0.6588,0.328,0.672,0.0
4,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them,0.6486,0.247,0.664,0.089
2,Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF,0.0,0.0,1.0,0.0
4,"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.",0.4939,0.348,0.652,0.0
4,Wow everyone at the Google I/O conference got free G2's with a month of unlimited service,0.7964,0.353,0.647,0.0
4,@vkerkez dood I got a free google android phone at the I/O conference. The G2!,0.5562,0.23,0.77,0.0
4,"@Orli the G2 is amazing btw, a HUGE improvement over the G1",0.918,0.649,0.351,0.0
4,"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio",0.915,0.538,0.462,0.0
4,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!,0.9256,0.675,0.325,0.0
4,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.,0.4754,0.219,0.781,0.0
4,Awesome viral marketing for Funny People http://www.nbc.com/yo-teach/,0.7906,0.583,0.417,0.0
2,"Watching a programme about the life of Hitler, its only enhancing my geekiness of history.",0.0,0.0,1.0,0.0
0,saw night at the museum out of sheer desperation. who is funding these movies?,-0.4588,0.0,0.812,0.188
4,Night At The Museum 2? Pretty furkin good.,0.7269,0.504,0.496,0.0
4,Watching Night at the Museum - giggling.,0.3612,0.333,0.667,0.0
2,"@pambeeslyjenna Jenna, I went to see Night At The Museum 2 today and I was so surprised to see three cast members from The Office...",0.3593,0.106,0.894,0.0
2,About to watch Night at the Museum with Ryan and Stacy,0.0,0.0,1.0,0.0
2,"Getting ready to go watch Night at the Museum 2.  Dum dum, you give me gum gum!",0.4199,0.149,0.851,0.0
0,"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh.",0.34,0.107,0.893,0.0
4,just watched night at the museum 2! so stinkin cute!,0.5944,0.3,0.7,0.0
4,"So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up.",0.8412,0.349,0.651,0.0
2,I think I may have a new favorite restaurant. On our way to see Night at the Museum 2.,0.4588,0.167,0.833,0.0
2,"UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old.",0.0,0.0,1.0,0.0
4,saw the new Night at the Museum and i loved it. Next is to go see UP in 3D,0.5994,0.187,0.813,0.0
0,It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?,-0.755,0.0,0.773,0.227
0,"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al",-0.4585,0.0,0.833,0.167
2,Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r,0.0,0.0,1.0,0.0
0,@Pittstock $GM good riddance.  sad though.,-0.0516,0.29,0.4,0.31
0,"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8",0.0,0.0,1.0,0.0
0,Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala,-0.5707,0.0,0.791,0.209
0,#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb,-0.2023,0.154,0.654,0.192
0,"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good.",0.4404,0.108,0.892,0.0
0,"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the..",-0.855,0.075,0.599,0.326
0,@QuantTrader i own a GM car and it is junk as far as quality compared to a honda,0.0,0.0,1.0,0.0
0,sad day...bankrupt GM,-0.4767,0.0,0.392,0.608
0,is upset about the whole GM thing. life as i know it is so screwed up,-0.7728,0.0,0.659,0.341
0,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,-0.8481,0.0,0.719,0.281
2,"Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View,United States. Views 16209 http://bit.ly/UdFCH",0.0,0.0,1.0,0.0
0,#WFTB Joining a bit late. My connection was down (boo time warner),0.0,0.0,1.0,0.0
0,Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.,0.0,0.0,1.0,0.0
0,i am furious with time warner and their phone promotions!,-0.6114,0.0,0.667,0.333
0,Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner,-0.7269,0.0,0.697,0.303
0,could time-warner cable suck more?  NO.,-0.7291,0.0,0.395,0.605
0,Pissed at Time Warner for causin me to have slow internet problems,-0.7845,0.0,0.592,0.408
0,"@sportsguy33 Ummm, having some Time Warner problems?",-0.4019,0.0,0.69,0.31
0,You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j,-0.6181,0.1,0.666,0.234
0,"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside.",-0.3818,0.0,0.867,0.133
0,"RT @sportsguy33: New Time Warner slogan: Time Warner, where we make you long for the days before cable.",0.0,0.0,1.0,0.0
0,"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/",-0.6249,0.0,0.797,0.203
0,@sportsguy33 Time Warner = epic fail,-0.5423,0.0,0.533,0.467
2,Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china,0.0,0.0,1.0,0.0
2,Weird Piano Guitar House in China! http://u2s.me/72i8,-0.2481,0.0,0.751,0.249
2,Send us your GM/Chevy photos http://tinyurl.com/luzkpq,0.0,0.0,1.0,0.0
0,I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.,-0.6712,0.0,0.766,0.234
0,"GM files Bankruptcy, not a good sign...",-0.3412,0.0,0.675,0.325
4,yankees won mets lost. its a good day.,0.6486,0.512,0.31,0.178
4,My dentist appt today was actually quite enjoyable.,0.4927,0.313,0.687,0.0
0,I hate the effing dentist.,-0.5719,0.0,0.448,0.552
2,@stevemoakler i had a dentist appt this morning and had the same conversation!,0.0,0.0,1.0,0.0
0,@kirstiealley I hate going to the dentist.. !!!,-0.6784,0.0,0.567,0.433
0,i hate the dentist....who invented them anyways?,-0.5719,0.0,0.575,0.425
0,this dentist's office is cold :/,-0.34,0.0,0.676,0.324
2,Check this video out -- David After Dentist http://bit.ly/47aW2,0.0,0.0,1.0,0.0
2,First dentist appointment [in years] on Wednesday possibly.,0.0,0.0,1.0,0.0
2,Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu,0.0,0.0,1.0,0.0
2,BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a,0.296,0.216,0.784,0.0
2,Portland city politics may undo baseball park http://tinyurl.com/lpjquj,0.0,0.0,1.0,0.0
2,"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s",0.5994,0.224,0.776,0.0
2,dropped her broccoli walking home from safeway! ;( so depressed,-0.674,0.0,0.665,0.335
2,@ronjon we don't have Safeway.,0.0,0.0,1.0,0.0
4,Just applied at Safeway!(: Yeeeee!,0.0,0.0,1.0,0.0
0,@ Safeway. Place is a nightmare right now. Bumming.,0.0,0.0,1.0,0.0
2,at safeway with dad,0.0,0.0,1.0,0.0
0,"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;",-0.8188,0.0,0.615,0.385
2,"Safeway with Marvin, Janelle, and Auntie Lhu",0.0,0.0,1.0,0.0
2,Safeway offering mobile coupons http://bit.ly/ONH7w,0.0,0.0,1.0,0.0
2,"Phillies Driving in the Cadillac with the Top Down in Cali, Win 5-3 - http://tinyurl.com/nzcjqa",0.6808,0.318,0.682,0.0
2,Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.,0.4215,0.109,0.891,0.0
2,"Lounging around, eating Taco Bell and watching NCIS before work tonight. Need help staying awake.",0.4019,0.162,0.838,0.0
2,eating breakfast and then school,0.0,0.0,1.0,0.0
2,still hungry after eating....,0.0,0.0,1.0,0.0
2,10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn,0.7096,0.434,0.566,0.0
2,"with the boyfriend, eating a quesadilla",0.0,0.0,1.0,0.0
2,"Eating dinner. Meat, chips, and risotto.",0.0,0.0,1.0,0.0
2,got a new pair of nike shoes. pics up later,0.0,0.0,1.0,0.0
2,Nike SB Blazer High ACG Custom - Brad Douglas - http://timesurl.at/45a448,0.0,0.0,1.0,0.0
4,Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes,0.8805,0.349,0.651,0.0
2,Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN,0.0,0.0,1.0,0.0
4,@evelynbyrne have you tried Nike  ? V. addictive.,0.0,0.0,1.0,0.0
2,@erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin....,-0.128,0.143,0.686,0.171
4,The Nike Training Club (beta) iPhone app looks very interesting.,0.4576,0.25,0.75,0.0
0,argghhhh why won't  my jquery appear in safari bad safari !!!,-0.6571,0.0,0.696,0.304
2,DevSnippets : jQuery Tools - Javascript UI Components for the Web... http://inblogs.org/go/hfuqt,0.0,0.0,1.0,0.0
2,"all about Ajax,jquery ,css ,JavaScript and more... (many examples) http://ajaxian.com/",0.0,0.0,1.0,0.0
4,"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js",0.5267,0.261,0.556,0.183
2,This is cold.. I was looking at google's chart//visualization API and found this jQuery wrapper for the API...  http://tinyurl.com/mq52bq,0.0,0.0,1.0,0.0
2,I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens.,0.0,0.0,1.0,0.0
2,jquery Selectors http://codylindley.com/jqueryselectors/,0.0,0.0,1.0,0.0
2,How to implement a news ticker with jQuery and ten lines of code http://bit.ly/CZnFJ,0.0,0.0,1.0,0.0
2,What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO,-0.3818,0.0,0.852,0.148
4,"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga",0.656,0.328,0.672,0.0
2,I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul,0.7269,0.337,0.663,0.0
4,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio",0.3612,0.143,0.857,0.0
4,"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it.",0.7269,0.253,0.747,0.0
0,"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html",-0.3612,0.0,0.857,0.143
4,I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis,0.8555,0.251,0.749,0.0
0,I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.,0.1533,0.178,0.71,0.111
4,I love my Kindle2. No more stacks of books to trip over on the way to the loo.,0.4588,0.196,0.701,0.103
0,"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more.",0.128,0.189,0.645,0.166
0,"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)",0.5362,0.164,0.766,0.07
2,@freitasm oh I see. I thought AT&amp;T were 900MHz WCDMA?,0.0,0.0,1.0,0.0
2,@Plip Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in?,0.4696,0.161,0.839,0.0
0,Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter,0.5563,0.339,0.661,0.0
0,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass",0.0772,0.176,0.667,0.158
4,GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave,0.624,0.276,0.639,0.085
0,looks like summize has gone down. too many tweets from WWDC perhaps?,0.3612,0.185,0.815,0.0
2,I hope the girl at work  buys my Kindle2,0.4404,0.293,0.707,0.0
2,Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush,0.5574,0.252,0.652,0.096
4,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen",0.9742,0.646,0.354,0.0
0,Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T,0.4684,0.217,0.689,0.094
4,@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.,0.8172,0.298,0.702,0.0
4,"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?",0.3818,0.133,0.867,0.0
4,"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha.",0.7269,0.404,0.596,0.0
2,@ruby_gem My primary debit card is Visa Electron.,0.0,0.0,1.0,0.0
2,Off to the bank to get my new visa platinum card,0.0,0.0,1.0,0.0
0,"dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me?",0.7193,0.38,0.483,0.138
2,has a date with bobby flay and gut fieri from food network,0.0,0.0,1.0,0.0
4,Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!,0.7777,0.312,0.688,0.0
4,Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.,0.4404,0.182,0.818,0.0
4,can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.,0.9062,0.435,0.565,0.0
4,"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today.",0.2466,0.115,0.802,0.083
0,Fighting with LaTex. Again...,-0.3612,0.0,0.545,0.455
0,@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil,-0.3798,0.191,0.5,0.309
0,"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.",-0.0516,0.071,0.848,0.08
2,How to Track Iran with Social Media: http://bit.ly/2BoqU,0.0,0.0,1.0,0.0
0,Shit's hitting the fan in Iran...craziness indeed #iranelection,0.3182,0.247,0.753,0.0
0,Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.,0.7579,0.345,0.521,0.134
2,Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM),0.0,0.0,1.0,0.0
4,getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.,0.8591,0.358,0.642,0.0
2,@johncmayer is Bobby Flay joining you?,0.0,0.0,1.0,0.0
4,i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!,0.9165,0.361,0.639,0.0
0,"I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster)",0.8173,0.333,0.667,0.0
4,using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!,0.8111,0.315,0.685,0.0
4,"After using LaTeX a lot, any other typeset mathematics just looks hideous.",0.0,0.0,1.0,0.0
2,Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7,0.0,0.0,1.0,0.0
0,"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now.",-0.9661,0.0,0.466,0.534
4,Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.,0.0,0.0,1.0,0.0
0,"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect",-0.4019,0.0,0.787,0.213
0,Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad...,-0.5719,0.0,0.791,0.209
